cluster,size,keywords,description
11,44,"roteador cisco, isr4331, conectividade, estabilidade, rede, desconexões, problemas de rede",Resolução de problemas de conectividade e estabilidade do Roteador Cisco ISR4331
1,40,"jira software, atualização, gerenciamento de projetos, recursos aprimorados, problemas técnicos",Atualização do Jira Software 8.20 para acessar recursos aprimorados e resolver problemas de gerenciamento de projetos
6,38,"dell xps 13 9310, problemas técnicos, suporte técnico, dell xps 13, 9310, super aquecimento, tela azul","Problemas técnicos com Dell XPS 13 9310, incluindo superaquecimento, tela azul, inicialização, bateria e touchpad"
13,34,"aws, serviço de gerenciamento, interrupção, gerenciamento aws, serviço gerenciamento","Problema de interrupção do Serviço de Gerenciamento da AWS, necessitando de assistência urgente para restaurar a funcionalidade e evitar impactos nas operações."
8,30,"aws, custos, gerenciamento aws, otimização, serviço de gerenciamento, infraestrutura em nuvem, eficiência de desempenho",Otimização de custos e eficiência da infraestrutura AWS
5,29,"consultoria ti, administração de servidores, otimização de desempenho, serviços de consultoria, soluções de ti, gestão de servidores, desenvolvimento de software","Administração de servidores, otimização de desempenho e consultoria em TI"
3,28,"hp deskjet 3755, impressora sem fio, conectividade wi-fi, configuração sem fio, problema de impressão, hp deskjet, deskjet 3755",Problemas de conectividade com impressora HP DeskJet 3755
19,24,"canon pixma mg3620, conexão sem fio, impressora, canon pixma, conectividade, wifi, configuração",Falha de conexão sem fio na impressora Canon PIXMA MG3620
0,24,"macbook air m1, bateria, entrega, devolução, compra, suporte técnico","Compras de MacBook Air M1 com problemas de bateria, entrega e devolução"
18,21,"servidor, ti, consultoria, suporte, urgente, resolução, problema",Resolução de problemas de servidor e TI com urgência
12,20,"surface pro 7, tela sensível ao toque, touchscreen não responsiva, surface pro problemas, microsoft surface pro, assistência técnica",Problemas de tela sensível ao toque no Surface Pro 7
21,15,"zoom, conectividade, áudio, vídeo, chamadas, reuniões, versão 5.11.0",Problemas de conectividade e áudio durante chamadas de vídeo no Zoom
15,14,"aws, cobrança, discrepância, faturamento, conta, cobranças, gerenciamento de custos",Revisão de cobranças e faturamento do AWS Management Service
14,12,"office 365, erro de login, instalação do office, cobrança do office, acesso ao outlook, erro de pagamento, atualização de pagamento","Problemas de login, instalação, cobrança e acesso ao Office 365"
4,11,"visual studio code, depuração, extensões, integração, suporte técnico, desenvolvimento, programação",Suporte para problemas de depuração e integração de extensões no Visual Studio Code
17,10,"adobe photoshop 2024, renovação de assinatura, instalação falha, cobrança indevida","Renovação de assinatura do Adobe Photoshop 2024, problemas de instalação e cobrança indevida"
2,10,"cobrança incorreta, cobrança duplicada, google chrome, mysql, microsoft office 365, intellij idea, cobrança inesperada","Cobranças incorretas, duplicadas ou inesperadas em compras de produtos como Google Chrome, MySQL, Microsoft Office 365 e IntelliJ IDEA."
20,10,"google workspace, cobrança incorreta, faturamento, google workspace business standard",Cobranças incorretas no Google Workspace Business Standard
23,9,"office 365, assinatura, cobrança, fatura, microsoft office, renovação anual","Revisão de faturas e cobranças do Microsoft Office 365, esclarecimento de discrepâncias e alteração de planos"
7,9,"atraso entrega, defeito equipamento, substituição produto, lenovo ideapad, ipad pro, assistência urgente","Atasos na entrega de produtos, defeitos em equipamentos e solicitações de substituição"
9,8,"norton, norton antivirus, antivirus plus, ativação, instalação, atualização, dificuldades","Dificuldades com ativação, instalação e atualização do Norton Antivirus Plus"
16,7,"epson, ecotank, et-4760, impressora, conectividade, configuracao, problema","Impressoras Epson EcoTank ET-4760 com problemas de funcionamento, conectividade e configuração"
25,7,"mysql, banco de dados, desempenho, falhas, recuperação de dados",Problemas de desempenho e falhas no banco de dados MySQL 8.0.30
24,7,"lg oled, samsung qled, oled c1, flicker, conectividade wifi, configuração tv","Solicitações de troca e assistência para TVs OLED e QLED com problemas de exibição, conectividade e configuração"
10,6,"postgresql 14, react javascript, erro sql, conexão postgresql, desempenho react, erro crítico, interrupções frequentes",Resolução de problemas de conexão e desempenho do PostgreSQL 14 e aplicativos React em JavaScript
22,6,"interrupção de serviço, otimização de custos, software sem resposta, eficiência do sistema",Problemas de interrupção de serviço e otimização de custos
