cluster,size,keywords,description
10,47,"consultoria ti, servidor, administração de servidores, soluções de ti, otimização de desempenho, gestão de servidores, consultoria de ti",Otimização de administração de servidores e soluções de TI
1,44,"roteador cisco, isr4331, conectividade, estabilidade, rede, desconexões, problemas de rede",Resolução de problemas de conectividade e estabilidade do Roteador Cisco ISR4331
3,40,"jira software, atualização, gerenciamento de projetos, recursos aprimorados, problemas técnicos",Atualização do Jira Software 8.20 para acessar recursos aprimorados e resolver problemas de gerenciamento de projetos
5,38,"dell xps 13 9310, problemas técnicos, suporte técnico, dell xps 13, 9310, super aquecimento, tela azul","Problemas técnicos com Dell XPS 13 9310, incluindo superaquecimento, tela azul, inicialização, bateria e touchpad"
2,38,"aws, serviço, interrupção, gerenciamento aws, serviço gerenciamento, urgente, inatividade","Problema de inatividade do Serviço de Gerenciamento da AWS, interrupção de serviço e tempo de inatividade"
14,33,"surface pro, tela sensível ao toque, não responsiva, microsoft surface, problema de tela, suporte técnico, reparo",Problemas de tela sensível ao toque no Microsoft Surface Pro
9,30,"aws, custos, otimização, gerenciamento aws, gerenciamento, otimização custos",Otimização de custos e eficiência da infraestrutura AWS
6,30,"hp deskjet 3755, impressora sem fio, conectividade wi-fi, configuração sem fio, problema de conexão, impressora hp, deskjet 3755",Problemas de conectividade Wi-Fi com a impressora HP DeskJet 3755
8,29,"canon pixma mg3620, conexão sem fio, impressora, canon pixma, pixma mg3620, conectividade, impressora canon",Falha de conexão sem fio na impressora Canon PIXMA MG3620
4,27,"macbook air m1, compra, bateria, problema, entrega, disponibilidade, suporte",Compras e problemas com MacBook Air M1
7,17,"google workspace, cobrança incorreta, faturamento, google workspace business, discrepância de cobrança",Cobranças incorretas no Google Workspace Business Standard
13,17,"office 365, login, cobrança, assinatura, microsoft office, erro de instalação, acesso ao email","Problemas de login, cobrança e atualização de assinatura do Microsoft Office 365"
12,15,"zoom, conectividade, áudio, vídeo, chamadas, reuniões, versão 5.11.0",Problemas de conectividade e áudio durante chamadas de vídeo no Zoom
16,14,"aws, cobrança, discrepância, faturamento, conta, cobranças, gerenciamento de custos",Revisão de cobranças e faturamento do AWS Management Service
17,13,"adobe photoshop 2024, renovação de assinatura, problemas de instalação, cobrança indevida, erro de instalação, assinatura do adobe, instalação do photoshop","Renovação de assinatura do Adobe Photoshop 2024, problemas de instalação e cobrança"
18,12,"mysql, banco de dados, desempenho, falha, erro, recuperação de dados",Problemas de desempenho e falhas no banco de dados MySQL 8.0.30
11,11,"visual studio, chrome, extensões, depuração, cobrança, erro, travamento","Falhas técnicas em extensões e navegadores, cobranças incorretas"
0,10,"slack, interrupção serviço, melhorar eficiência, software fica, implementação, conexão, instalação",Resolução de problemas de integração e eficiência do Slack e outros serviços
15,8,"norton, norton antivirus, antivirus plus, ativação, instalação, atualização, dificuldades","Dificuldades com ativação, instalação e atualização do Norton Antivirus Plus"
